"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"1948",1,4,3,394,20,20,1825,20,"Favorite","Uniform",120
"775",1,2,5,366,10,10,933,8,"Favorite","Uniform",146.22
"3071",1,2,4,384,33,33,2314,29,"Favorite","Uniform",357.96
"1782",1,2,5,203,11,11,568,11,"Favorite","Uniform",101
"982",1,3,7,211,15,15,962,15,"Favorite","Uniform",152.5
"1441",1,1,7,340,13,10,140,8,"Favorite","Uniform",277.45
"976",1,2,6,162,8,8,1965,8,"Favorite","Uniform",132.5
"1982",1,1,4,438,49,47,4410,40,"Favorite","Uniform",598.47
"130",2,3,7,372,19,19,2258,19,"Uniform","Uniform",149.1
"3020",1,2,4,345,21,15,173,12,"Uniform","Uniform",219.85
"2798",1,3,1,342,11,11,531,11,"Favorite","Uniform",135
"1085",1,2,5,335,8,8,1093,0,"Favorite","Uniform",242.98
"833",1,1,5,334,14,11,1900,8,"Favorite","Uniform",220.88
"1996",1,1,5,184,16,10,11,16,"Favorite","Favorite",125
"511",1,1,5,400,20,17,705,20,"Favorite","Uniform",142.5
"1014",1,3,4,427,24,25,2999,22,"Favorite","Uniform",232.49
"2985",1,2,4,372,12,12,3292,12,"Favorite","Uniform",308.27
"1623",1,3,4,452,24,20,1742,22,"Favorite","Uniform",167.48
"2813",1,2,3,454,25,15,1432,25,"Uniform","Uniform",185
"1598",1,3,4,349,22,20,713,22,"Uniform","Uniform",130.03
"395",1,5,3,369,15,12,838,15,"Favorite","Uniform",105
"2059",1,2,7,330,6,6,5,0,"Favorite","Favorite",189.93
"2260",1,1,5,387,12,12,2163,12,"Favorite","Uniform",117.51
"1038",2,2,4,395,31,23,2039,31,"Favorite","Uniform",181.25
"222",2,1,6,438,16,16,918,16,"Favorite","Uniform",202.45
"1760",1,3,2,420,40,35,3360,38,"Favorite","Uniform",404.58
"1895",1,2,4,402,15,15,1028,9,"Favorite","Uniform",257.5
"81",2,2,5,345,12,12,568,12,"Favorite","Uniform",114.45
"979",2,3,6,388,16,16,5493,16,"Favorite","Uniform",252.99
"2065",1,1,6,110,11,11,608,11,"Favorite","Uniform",120
"1702",1,2,5,226,23,23,192,23,"Favorite","Uniform",210
"1052",1,2,6,344,10,11,0,0,"Favorite","NONE",174.91
"2379",1,3,3,462,15,15,106,15,"Favorite","Uniform",192.5
"2843",1,1,7,366,9,8,420,5,"Favorite","Uniform",115.16
"643",1,2,6,237,11,11,465,11,"Favorite","Uniform",140.51
"1164",1,4,6,223,17,13,1283,17,"Favorite","Uniform",170
"494",1,2,4,441,25,21,1680,25,"Favorite","Uniform",208.72
"86",2,2,6,372,17,17,3701,17,"Favorite","Uniform",258.48
"2537",1,3,5,351,18,15,1625,18,"Uniform","Uniform",102.52
"2100",1,2,5,283,10,10,137,10,"Favorite","Uniform",117.5
"2289",1,3,5,223,11,11,834,11,"Favorite","Uniform",137.5
"2458",1,2,5,128,8,10,323,2,"Favorite","Uniform",150.24
"155",2,2,5,294,11,11,1621,11,"Favorite","Uniform",103.04
"634",1,1,4,392,18,15,452,18,"Favorite","Uniform",142.5
"2243",1,1,4,235,12,8,1374,12,"Uniform","Uniform",100
"2212",1,1,8,143,12,9,96,6,"Uniform","Favorite",202.5
"1575",1,1,6,271,14,11,314,14,"Favorite","Uniform",105.01
"549",1,1,8,393,11,11,722,11,"Favorite","Uniform",105.01
"2018",1,1,5,431,12,12,1129,12,"Favorite","Uniform",130.76
"83",2,1,5,239,11,11,475,11,"Favorite","Uniform",145.09
"374",1,2,2,425,15,13,627,15,"Favorite","Uniform",130
"2983",1,2,6,317,11,8,1044,10,"Favorite","Uniform",115.98
"2776",1,1,4,169,9,9,220,9,"Favorite","Uniform",105
"1000",1,1,6,338,12,11,577,12,"Favorite","Uniform",142.5
"3076",1,2,5,411,13,8,4551,13,"Favorite","Uniform",102.47
"2470",1,1,5,388,17,15,544,17,"Favorite","Uniform",112.51
"282",2,1,7,365,5,5,264,5,"Favorite","Uniform",120.59
"1693",1,2,5,438,14,14,153,14,"Favorite","Uniform",107.5
"162",2,2,6,400,8,8,1549,8,"Favorite","Uniform",108.47
"478",1,1,6,104,12,9,744,12,"Uniform","Uniform",132.5
"3039",1,1,7,342,10,10,781,10,"Favorite","Uniform",100
"1127",1,1,8,369,10,6,281,9,"Favorite","Uniform",187.49
"485",1,2,3,423,21,21,9213,21,"Favorite","Uniform",222.5
"2839",1,2,4,352,14,12,949,14,"Uniform","Uniform",102.51
"62",1,3,5,419,18,17,3866,11,"Favorite","Uniform",414.15
"2812",1,3,5,336,11,11,1495,11,"Favorite","Uniform",111.25
"2635",1,3,6,327,18,18,1353,18,"Favorite","Uniform",277.53
"2382",1,1,6,318,7,7,163,4,"Uniform","Uniform",102.48
"2521",1,1,5,302,16,14,855,16,"Favorite","Uniform",172.5
"3141",1,1,6,378,16,13,146,16,"Uniform","Uniform",105
"171",2,3,6,455,17,17,4599,17,"Favorite","Uniform",134.89
"2301",1,3,4,393,33,26,394,33,"Favorite","Uniform",212.5
"2539",1,3,5,447,26,17,3628,26,"Favorite","Uniform",195
"2681",1,1,7,322,7,7,188,7,"Favorite","Uniform",100.01
"879",1,2,5,202,9,8,483,9,"Favorite","Uniform",105
"1097",1,1,9,259,22,13,981,22,"Favorite","Uniform",167.5
"1689",1,2,1,205,15,15,1271,15,"Favorite","Uniform",150
"2500",1,3,4,434,35,30,1230,35,"Favorite","Uniform",302.5
"2463",1,1,6,315,14,14,1960,14,"Favorite","Uniform",135.02
"1204",1,2,2,390,14,14,2854,11,"Favorite","Uniform",245.6
"601",1,2,5,459,18,16,1450,15,"Uniform","Uniform",189.88
"757",1,4,7,360,9,9,778,9,"Favorite","Uniform",100
"390",1,2,5,216,8,10,263,6,"Favorite","Uniform",125.96
"2541",1,3,6,377,27,14,790,27,"Uniform","Uniform",150
"2737",1,2,7,471,11,12,2029,10,"Favorite","Uniform",162.48
"1457",1,3,4,289,13,12,312,3,"Favorite","Uniform",257.51
"3190",1,4,4,176,10,14,3315,5,"Favorite","Uniform",188.91
"2417",1,4,4,254,13,12,44,11,"Favorite","Uniform",198.09
"1415",1,1,8,102,14,14,331,14,"Favorite","Uniform",160
"1056",1,3,3,370,31,24,1676,31,"Favorite","Uniform",187.5
"3050",1,2,6,381,21,11,384,21,"Uniform","Uniform",137.5
"2566",1,2,3,432,22,22,8006,21,"Favorite","Uniform",262.99
"2778",1,6,3,360,22,22,3009,22,"Favorite","Uniform",195.75
"2189",1,1,4,401,15,15,190,15,"Favorite","Uniform",152.5
"1929",1,3,2,362,28,20,3051,28,"Favorite","Uniform",145
"3044",1,2,3,396,11,11,578,11,"Favorite","Uniform",137.5
"710",1,2,2,404,11,11,935,11,"Favorite","Uniform",120
"581",1,2,4,408,21,18,178,21,"Favorite","Uniform",175
"1475",1,2,3,190,12,11,1261,6,"Uniform","Uniform",235.48
"1403",1,2,6,378,14,9,616,14,"Favorite","Uniform",130
"2890",1,2,4,360,9,9,1015,2,"Favorite","Uniform",218.21
"2548",1,2,6,253,17,18,2946,16,"Favorite","Uniform",224.98
"1939",1,2,5,378,8,8,1696,8,"Favorite","Uniform",112.51
"928",1,3,5,387,11,9,664,11,"Favorite","Uniform",117.5
"3108",1,3,4,368,14,13,714,12,"Favorite","Uniform",156.33
"2279",1,1,6,384,9,9,787,9,"Favorite","Uniform",120
"1389",1,2,5,371,13,13,687,13,"Favorite","Uniform",100
"1057",1,2,3,123,28,28,2746,28,"Favorite","Uniform",395
"140",2,1,6,166,13,13,1214,13,"Favorite","Uniform",156.67
"260",2,3,6,404,16,13,3343,16,"Favorite","Uniform",147.19
"2386",1,2,5,375,6,6,1762,6,"Favorite","Uniform",100
"2923",1,2,6,364,16,15,1549,16,"Uniform","Uniform",162.5
"387",1,2,4,356,22,14,3389,22,"Favorite","Uniform",152.5
"695",1,2,4,358,11,10,2360,7,"Uniform","Uniform",229.99
"2745",1,2,6,367,18,16,6743,15,"Favorite","Uniform",174.97
"450",1,2,3,371,17,13,1369,17,"Favorite","Uniform",102.51
"2791",1,2,4,398,14,12,1204,14,"Favorite","Uniform",117.5
"204",2,1,6,256,7,7,1510,7,"Favorite","Uniform",124.33
"1913",1,4,5,409,16,16,2184,13,"Favorite","Uniform",236.9
"2936",1,2,4,341,12,12,749,12,"Favorite","Uniform",112.5
"1037",1,1,4,367,25,19,96,25,"Favorite","Uniform",120
"65",1,3,1,378,13,12,911,9,"Favorite","Uniform",130.44
"1523",1,2,4,397,17,17,5932,17,"Favorite","Uniform",155
"638",1,2,5,418,22,23,1696,13,"Favorite","Uniform",248.9
"1730",1,2,4,250,26,22,3469,26,"Favorite","Uniform",247.5
"674",1,2,2,435,30,25,5158,30,"Favorite","Uniform",205.01
"1839",1,3,3,323,15,15,4331,15,"Favorite","Uniform",132.5
"725",1,2,8,354,18,12,199,18,"Favorite","Uniform",115
"921",1,3,5,289,11,10,1850,11,"Favorite","Uniform",140
"924",1,1,5,313,19,19,628,19,"Favorite","Uniform",184
"2902",1,2,4,428,8,8,606,8,"Favorite","Uniform",106.25
"1206",1,1,4,356,18,18,1082,12,"Favorite","Uniform",189.03
"964",1,4,2,442,34,31,2251,25,"Uniform","Uniform",294.79
"2797",1,1,4,384,22,19,840,18,"Uniform","Uniform",201.22
"1092",1,2,5,269,34,24,1298,34,"Favorite","Uniform",196.26
"1159",1,1,6,373,16,15,3085,13,"Favorite","Uniform",188.67
"822",1,1,5,447,14,14,2447,14,"Favorite","Uniform",140
"320",2,1,5,358,15,15,107,15,"Favorite","Uniform",101.12
"1340",1,2,6,437,26,26,3036,26,"Favorite","Uniform",240.03
"1400",1,2,8,350,11,8,1319,11,"Uniform","Uniform",105
"1579",1,2,6,404,10,10,3105,10,"Favorite","Uniform",140
"2579",1,3,6,317,13,13,487,13,"Favorite","Uniform",210
"565",1,3,3,356,26,22,1445,19,"Uniform","Uniform",267.87
"853",1,1,4,469,14,11,4679,14,"Favorite","Uniform",102.5
"2617",1,2,5,323,20,13,225,20,"Uniform","Uniform",112.5
"2278",2,4,2,416,17,17,2357,17,"Favorite","Uniform",156.99
"1221",1,2,3,419,11,11,2357,11,"Favorite","Uniform",157.5
"2640",1,3,5,463,18,13,383,18,"Uniform","Uniform",110
"543",1,1,7,282,15,14,1035,14,"Favorite","Uniform",193.74
"2180",1,2,4,384,11,11,1416,11,"Favorite","Uniform",132.5
"999",1,2,4,245,3,3,203,0,"Favorite","Uniform",137.98
"2592",1,2,5,391,35,25,754,35,"Favorite","Uniform",277.5
"3059",1,2,3,381,35,23,1275,33,"Favorite","Uniform",252.49
"2299",1,1,8,327,11,9,2433,11,"Favorite","Uniform",122.48
"244",2,3,2,412,29,29,4195,29,"Favorite","Uniform",375.2
"2760",1,1,6,469,26,22,0,17,"Favorite","Favorite",269.21
"1941",1,2,5,382,6,6,824,2,"Favorite","Uniform",177.49
"2612",1,4,4,464,60,49,18728,60,"Favorite","Uniform",399.01
"365",2,1,5,419,17,17,3419,17,"Favorite","Uniform",184.62
"2867",1,1,5,370,19,9,1238,19,"Uniform","Uniform",115
"452",1,1,10,328,5,7,0,0,"Favorite","NONE",125.83
"905",1,2,6,371,12,11,1582,12,"Uniform","Uniform",100
"1200",1,1,5,176,25,17,2039,25,"Uniform","Uniform",132.5
"2918",1,2,5,322,10,10,86,8,"Favorite","Uniform",100.48
"1546",1,2,2,368,18,15,1179,12,"Uniform","Uniform",156.75
"806",1,2,4,155,15,11,376,15,"Uniform","Uniform",117.5
"2986",1,2,3,390,11,11,714,9,"Favorite","Uniform",114.98
"552",1,2,5,145,3,3,393,0,"Favorite","Uniform",142.39
"1848",1,3,6,306,21,14,299,21,"Favorite","Uniform",167.5
"3048",1,2,5,295,10,10,1447,10,"Favorite","Uniform",100
"2024",1,1,4,366,10,10,12,5,"Favorite","Uniform",103.58
"330",2,1,5,410,14,14,7809,14,"Favorite","Uniform",161.82
"624",1,2,5,176,18,18,2359,18,"Favorite","Uniform",180
"339",2,2,4,448,10,10,802,10,"Favorite","Uniform",102.72
"745",1,2,3,363,16,11,1266,16,"Favorite","Uniform",105
"1950",1,2,4,355,66,45,2134,61,"Favorite","Uniform",477.65
"2103",1,2,5,278,14,11,403,9,"Favorite","Uniform",231
"2485",1,2,5,431,14,14,344,5,"Favorite","Uniform",220.96
"2421",1,1,6,372,13,13,112,1,"Favorite","Uniform",312.5
"1746",1,3,7,433,18,17,599,18,"Favorite","Uniform",212.5
"35",1,1,5,392,20,17,1065,19,"Favorite","Uniform",159.97
"1963",1,1,6,462,28,24,1552,26,"Uniform","Uniform",192.64
"848",1,2,5,436,13,13,1180,13,"Favorite","Uniform",195
"2997",1,1,7,367,16,13,1124,16,"Uniform","Uniform",130
"1613",1,1,8,434,13,13,1149,13,"Favorite","Favorite",172.5
"139",2,2,5,441,19,19,8201,19,"Favorite","Uniform",222.1
"1827",1,2,5,370,15,9,2979,15,"Favorite","Uniform",100
"2750",1,2,6,424,15,15,2930,15,"Favorite","Uniform",148.77
"393",1,2,6,367,19,14,147,19,"Favorite","Uniform",135
"1585",1,2,7,127,10,10,322,10,"Favorite","Favorite",110
"111",2,3,3,463,8,8,2682,8,"Uniform","Uniform",102.48
"428",1,1,4,327,13,13,107,10,"Favorite","Uniform",133.89
"2528",1,2,4,392,13,13,79,13,"Favorite","Uniform",162.5
"2752",1,2,3,388,47,44,1287,42,"Uniform","Uniform",688.23
"792",1,2,5,115,10,10,2871,10,"Favorite","Uniform",115
"1833",1,2,6,359,25,20,163,22,"Favorite","Uniform",217.46
"2245",1,2,5,217,21,21,6995,21,"Uniform","Uniform",137.55
"3043",1,3,6,432,20,17,2582,20,"Favorite","Uniform",137.5
"1202",1,3,3,417,36,28,2672,36,"Uniform","Uniform",230.02
"2989",1,2,4,281,17,17,853,17,"Favorite","Uniform",170
"97",2,1,8,397,13,13,682,13,"Favorite","Uniform",101.24
"430",1,2,5,390,25,23,1133,22,"Uniform","Uniform",203.22
"2110",1,3,3,196,16,17,443,11,"Favorite","Uniform",135.21
"418",1,2,3,394,14,14,2326,11,"Favorite","Uniform",130.48
"112",2,3,4,455,10,10,813,10,"Favorite","Favorite",135.71
"898",1,2,5,355,16,16,1700,10,"Favorite","Uniform",270
"2035",1,3,4,446,53,43,5872,42,"Favorite","Uniform",573.39
"1945",1,3,6,404,16,10,2062,12,"Uniform","Uniform",106.15
"987",1,3,6,289,7,7,345,7,"Favorite","Uniform",107.5
"2765",1,3,5,378,16,16,1334,9,"Favorite","Uniform",184.93
"156",2,2,3,387,21,21,2546,21,"Favorite","Uniform",207.86
"3022",1,1,8,368,13,13,124,13,"Favorite","Uniform",180
"1300",1,1,9,180,10,10,1021,10,"Favorite","Uniform",105
"1658",1,3,7,394,6,6,888,0,"Favorite","Uniform",180
"1104",1,1,8,440,14,14,5826,13,"Favorite","Uniform",184.99
"290",2,1,5,238,15,15,1002,15,"Favorite","Uniform",128
"2589",1,1,8,190,14,12,1999,9,"Favorite","Uniform",228.11
"1310",1,1,5,162,18,18,1340,18,"Favorite","Uniform",170
"1058",1,2,4,356,28,19,3950,28,"Uniform","Uniform",145
"560",1,2,5,369,12,13,893,8,"Favorite","Uniform",175.89
"1385",1,3,4,339,17,17,66,14,"Favorite","Uniform",168.66
"2966",1,2,6,462,57,48,2198,30,"Uniform","Uniform",667.31
"2159",1,2,3,369,7,7,814,2,"Favorite","Uniform",192.98
"1988",1,3,7,390,49,36,1389,41,"Uniform","Uniform",327.42
"743",1,2,4,419,28,25,2751,28,"Favorite","Uniform",217
"1666",1,1,4,219,8,8,487,8,"Favorite","Uniform",100
"826",1,1,8,377,16,16,111,16,"Uniform","Uniform",142
"178",2,1,6,272,5,5,768,5,"Favorite","Uniform",111.03
"2606",1,2,4,299,18,18,521,13,"Favorite","Uniform",206.11
"2916",1,3,3,431,53,42,2859,53,"Favorite","Uniform",342.5
"2437",1,1,5,207,9,9,718,9,"Favorite","Uniform",108
"2741",1,2,6,432,22,22,5231,22,"Favorite","Uniform",217.5
"1548",1,2,6,378,11,11,1363,11,"Favorite","Uniform",116.25
"535",1,2,7,250,10,10,78,10,"Favorite","Uniform",126.5
"1418",1,1,6,361,11,11,586,11,"Favorite","Uniform",121
"1422",1,1,6,380,14,12,1320,9,"Favorite","Uniform",156.45
"2371",1,1,7,191,13,13,443,13,"Favorite","Uniform",197.5
"2061",1,1,6,438,19,17,1510,16,"Favorite","Uniform",184.95
"1145",1,3,5,405,16,14,4438,16,"Uniform","Uniform",117.5
"2620",1,4,4,427,16,15,3374,16,"Uniform","Uniform",145
"2549",1,3,1,416,15,15,1243,15,"Uniform","Uniform",105.04
"914",1,2,3,224,33,23,427,33,"Favorite","Uniform",222.5
"264",2,2,6,365,16,16,858,16,"Favorite","Uniform",153.28
"1084",1,1,4,354,30,26,677,27,"Favorite","Uniform",231.04
"75",2,2,4,273,14,14,107,14,"Favorite","Uniform",195.3
"2312",1,2,3,369,19,19,2112,19,"Favorite","Uniform",217.5
"3127",1,1,6,362,15,11,78,13,"Favorite","Uniform",189.99
"1330",1,2,8,174,15,7,828,15,"Uniform","Uniform",110
"1819",1,2,5,140,14,14,1076,8,"Favorite","Uniform",177.74
"780",1,2,5,397,17,17,2076,17,"Favorite","Uniform",136.5
"1854",1,4,2,442,13,13,2242,13,"Favorite","Uniform",130
"3083",1,2,5,433,23,23,1333,23,"Favorite","Uniform",245.03
"2204",1,3,4,230,9,9,1039,9,"Favorite","Uniform",112.5
"1294",1,2,5,458,24,19,985,24,"Favorite","Uniform",220
"1254",1,3,3,470,27,27,725,27,"Favorite","Uniform",237.5
"205",2,3,7,464,23,23,3594,23,"Favorite","Uniform",315.16
"1918",1,2,6,214,16,13,724,16,"Favorite","Uniform",195
"1872",1,2,6,384,15,15,3420,15,"Favorite","Uniform",185
"2197",1,2,2,470,17,16,1653,17,"Favorite","Uniform",121.75
"2183",1,1,9,253,25,25,1304,20,"Uniform","Uniform",203.47
"1468",1,2,5,216,19,19,8987,19,"Favorite","Uniform",237.5
"208",2,1,6,356,15,15,782,15,"Favorite","Uniform",136.78
"1678",1,2,6,278,20,18,381,19,"Uniform","Uniform",170
"1308",1,2,5,362,12,12,1210,5,"Favorite","Uniform",156.3
"1417",1,1,5,152,20,18,1220,20,"Favorite","Uniform",205
"2811",1,2,4,212,9,9,2237,9,"Favorite","Uniform",165
"2422",1,1,6,426,42,25,1033,39,"Favorite","Uniform",278.72
"1507",1,4,3,167,13,13,1579,13,"Favorite","Uniform",140
"2400",1,11,0,413,21,18,1074,21,"Uniform","Uniform",125.53
"240",2,2,3,468,10,10,1969,10,"Favorite","Uniform",100.68
"2287",1,5,5,445,31,31,2550,31,"Favorite","Uniform",302.5
"1846",1,2,3,371,17,11,94,12,"Uniform","Uniform",148.97
"2292",1,2,5,299,8,9,703,3,"Favorite","Uniform",100.94
"2525",1,2,5,427,18,15,2362,18,"Uniform","Uniform",150.02
"3101",1,2,7,251,12,12,1551,12,"Favorite","Uniform",118.5
"2972",1,3,5,236,17,13,1447,17,"Favorite","Uniform",127.5
"801",1,2,4,462,6,6,492,6,"Favorite","Uniform",100
"1258",1,2,7,395,23,20,596,22,"Favorite","Uniform",209.99
"815",1,1,7,373,24,21,454,24,"Favorite","Uniform",212.5
"3183",1,2,2,329,13,13,1404,13,"Favorite","Uniform",240
"1465",1,3,3,401,17,15,3740,17,"Uniform","Uniform",155
"1433",1,2,4,382,37,24,998,37,"Uniform","Uniform",165
"1317",1,4,5,367,84,69,3605,84,"Favorite","Uniform",637.5
"2219",1,1,7,457,11,11,900,8,"Favorite","Uniform",127.97
"2703",1,1,5,359,12,10,3420,10,"Uniform","Uniform",107.49
"1405",1,2,3,399,17,17,1207,17,"Favorite","Uniform",151.26
"2648",1,2,4,369,11,10,232,11,"Favorite","Uniform",110
"2610",1,2,3,432,22,16,30,22,"Uniform","Uniform",117.5
"1287",1,1,5,191,9,7,126,9,"Favorite","Uniform",100
"723",2,2,4,470,15,15,2196,15,"Favorite","Uniform",116.91
"1002",1,2,5,446,19,11,1349,19,"Favorite","Uniform",128.5
"1429",1,2,5,275,11,11,80,10,"Favorite","Uniform",144.49
"1881",1,2,5,334,26,22,1470,20,"Favorite","Uniform",412.49
"20",1,2,4,278,12,12,1080,8,"Uniform","Uniform",182.36
"2009",1,4,1,373,7,7,283,2,"Favorite","Uniform",122.85
"3186",1,5,1,456,19,18,1033,13,"Favorite","Uniform",300
"540",1,1,4,337,16,16,266,15,"Favorite","Uniform",132.49
"3092",1,1,6,370,7,7,1148,6,"Favorite","Uniform",123.74
"2194",1,2,3,139,9,9,0,9,"Favorite","NONE",110
"1824",1,2,5,363,7,7,1299,7,"Favorite","Uniform",170
"1106",1,3,4,447,12,9,948,12,"Favorite","Uniform",110
"749",1,1,9,309,10,10,1123,10,"Favorite","Uniform",115
"1911",1,1,3,392,11,11,443,9,"Favorite","Uniform",140.98
"1688",1,3,4,368,33,22,196,33,"Favorite","Uniform",175
"779",1,2,5,406,10,9,619,10,"Favorite","Uniform",105
"2014",1,3,2,100,14,14,1294,14,"Uniform","Uniform",132.5
"3057",1,2,5,208,13,12,2038,4,"Favorite","Uniform",366.79
"949",1,3,3,452,9,9,2166,9,"Favorite","Uniform",119.99
"996",1,4,4,387,16,12,6265,16,"Favorite","Uniform",110
"2666",1,2,9,366,18,18,228,14,"Favorite","Favorite",165.92
"2428",1,1,5,222,21,21,1067,20,"Favorite","Uniform",137.53
"1015",1,2,4,443,10,9,1178,10,"Favorite","Uniform",110
"769",2,5,4,398,18,12,925,18,"Uniform","Uniform",132.37
"1916",1,3,2,343,23,22,2754,23,"Favorite","Uniform",182.52
"1887",1,2,3,107,9,6,826,6,"Uniform","Uniform",103.66
"378",1,1,8,276,11,11,3223,11,"Favorite","Uniform",102.5
"713",1,2,3,451,28,20,993,28,"Uniform","Uniform",145
"712",1,2,3,378,17,17,401,17,"Favorite","Uniform",132.5
"36",1,2,5,322,13,13,1911,13,"Uniform","Uniform",102.53
"644",1,1,8,335,7,7,0,2,"Favorite","NONE",219.95
"715",1,2,4,307,15,15,1058,15,"Favorite","Uniform",185
"324",2,1,5,301,7,7,375,7,"Favorite","Uniform",135.99
"2826",1,2,4,348,16,13,1767,15,"Favorite","Uniform",102.49
"23",1,1,8,471,18,18,2131,18,"Favorite","Uniform",172.5
"1234",1,1,4,250,20,20,192,19,"Favorite","Uniform",180.9
"730",1,3,6,397,10,10,3180,10,"Uniform","Uniform",115
"1818",1,1,8,372,17,17,2296,15,"Favorite","Uniform",205.24
"1719",1,2,7,356,19,15,6901,19,"Uniform","Uniform",187.5
"77",2,2,4,411,13,13,1588,13,"Favorite","Uniform",135.2
"704",1,2,2,345,9,9,113,2,"Favorite","Uniform",301.42
"2949",1,2,6,278,16,16,391,16,"Favorite","Favorite",137.5
"370",2,2,5,363,12,12,2481,12,"Favorite","Uniform",108.71
"2225",1,3,4,366,5,6,392,4,"Favorite","Uniform",227.48
"1166",1,1,7,314,14,10,146,14,"Uniform","Uniform",100
"1508",1,2,8,349,21,19,1999,21,"Favorite","Uniform",190
"1898",1,2,6,315,16,16,1170,16,"Favorite","Uniform",167.51
"689",1,2,5,372,22,22,3119,22,"Favorite","Uniform",110.02
"419",1,2,3,389,21,21,451,15,"Uniform","Uniform",290.89
"626",1,3,7,406,17,17,2908,9,"Favorite","Uniform",188.84
"388",1,1,5,364,8,8,136,3,"Favorite","Uniform",106.45
"1557",2,2,5,393,16,16,849,16,"Favorite","Uniform",135.6
"796",1,1,6,365,42,26,674,42,"Favorite","Uniform",232.48
"80",2,2,3,460,15,14,3885,15,"Favorite","Uniform",156.69
"2063",1,1,5,432,13,13,5254,13,"Favorite","Uniform",112.25
"2310",1,1,5,232,6,6,859,0,"Favorite","Uniform",180
"2700",1,2,5,152,11,11,195,6,"Favorite","Uniform",119.52
"2378",1,5,2,419,14,14,1438,13,"Favorite","Uniform",131.24
"462",1,3,4,391,9,8,2832,4,"Favorite","Uniform",119.96
"88",2,1,6,307,9,9,1091,9,"Favorite","Uniform",103.9
"3065",1,2,6,458,21,19,2655,21,"Favorite","Uniform",207.5
"3176",1,3,3,443,24,22,7346,22,"Favorite","Uniform",207.56
"1621",1,2,3,469,5,5,602,5,"Favorite","Uniform",102.49
"1609",1,2,6,316,7,7,698,3,"Favorite","Uniform",113.96
"147",2,2,5,166,11,11,540,11,"Favorite","Uniform",111.68
"2934",1,2,5,367,15,15,749,15,"Favorite","Uniform",102.52
"2913",1,2,4,409,13,13,1104,11,"Uniform","Uniform",107.49
"2866",1,2,4,330,12,12,1742,12,"Favorite","Uniform",170
"527",1,2,6,336,14,13,447,11,"Favorite","Favorite",113.42
"3033",1,4,2,355,16,16,3273,16,"Uniform","Uniform",127.5
"471",1,5,1,464,22,19,348,21,"Uniform","Uniform",142.5
"645",1,1,6,412,9,9,212,9,"Favorite","Uniform",103.25
"1634",1,2,2,386,12,11,4080,9,"Favorite","Uniform",165.47
"1307",1,2,7,399,15,14,711,15,"Favorite","Uniform",137.5
"515",1,2,5,423,20,16,4537,20,"Uniform","Uniform",120
"2306",1,2,6,248,16,16,2753,16,"Favorite","Uniform",122
"364",2,2,2,402,16,16,498,16,"Favorite","Uniform",131.67
"825",1,2,5,287,6,7,228,3,"Favorite","Uniform",187.26
"275",2,3,1,121,13,13,3129,13,"Favorite","Uniform",105.9
"197",2,2,6,119,10,10,852,10,"Uniform","Uniform",112.08
"2466",1,2,6,362,16,12,341,10,"Uniform","Uniform",262.5
"154",2,2,4,366,13,13,2354,13,"Favorite","Uniform",118.12
"1419",1,2,5,282,14,14,1263,4,"Uniform","Uniform",307.99
"2605",1,4,4,471,26,22,2219,21,"Favorite","Uniform",245.46
"45",1,1,5,338,6,6,54,4,"Uniform","Uniform",140
"2030",1,3,7,416,25,17,569,25,"Favorite","Uniform",122.5
"2181",1,3,3,246,32,21,2166,32,"Uniform","Uniform",105.78
"42",1,2,4,379,16,11,123,16,"Favorite","Uniform",107.5
"1220",1,4,5,382,15,13,949,10,"Uniform","Uniform",175.45
"2632",1,3,6,137,25,14,1419,21,"Uniform","Uniform",131.71
"3064",1,1,5,152,18,12,16,17,"Favorite","Uniform",125.49
"1674",2,2,5,250,10,10,2502,10,"Favorite","Uniform",116.8
"2830",1,3,3,415,33,28,3397,33,"Uniform","Uniform",181.26
"1065",1,1,5,257,42,34,773,36,"Favorite","Uniform",437.45
"137",2,2,4,423,12,12,3598,12,"Favorite","Uniform",177.31
"2962",1,1,6,368,40,40,1757,31,"Favorite","Uniform",359.15
"2462",1,2,5,190,8,8,255,0,"Favorite","Uniform",160.67
"1321",1,1,4,366,3,3,0,0,"Favorite","NONE",170.59
"1020",1,1,5,433,7,7,2209,7,"Favorite","Uniform",106.25
"2891",1,3,2,367,9,11,1583,5,"Favorite","Uniform",124.35
"2344",1,2,4,266,21,15,635,21,"Favorite","Uniform",117.5
"701",1,2,5,385,13,14,1356,12,"Favorite","Uniform",137.48
"1869",1,2,5,244,10,10,4234,10,"Favorite","Uniform",137.5
"1285",1,2,4,453,16,14,67,16,"Uniform","Uniform",120
"1436",1,3,5,222,25,25,1603,25,"Favorite","Uniform",295
"1053",1,2,6,410,26,20,1098,26,"Favorite","Uniform",197.51
"2250",1,1,4,376,13,11,157,13,"Favorite","Uniform",122.5
"530",1,2,4,367,17,12,165,13,"Favorite","Uniform",252.49
"123",2,2,7,365,14,14,3864,14,"Favorite","Uniform",196.3
"954",1,2,4,370,20,13,1161,20,"Uniform","Uniform",107.5
"288",2,3,6,432,22,22,6147,22,"Favorite","Uniform",190.73
